 , ,Abdominal Belt,Thoracic belt,Pulse Train Stimulation,Stimulation Gate,Flow Stim Box,Paw Stim Box,Accelerometer (X),Accelerometer (Y),Accelerometer (Z),Moment (X),Millar 1,Pulse Oximetry,PPG (PAT),Moment(Y),Moment(Z),Flow 2,Stim Gate,Millar, ,Flow Sensor Mouth,Flow Sensor Total,Tidal Volume Nose,Tidal Volume Mouth,Tidal Volume Total, ,Flow Sensor Mouth, ,Tidal Volume Nose,Flow Sensor Mouth,Tidal Volume Nose, , , ,Tidal Volume Mouth,Tidal Volume Mouth,Tidal Volume Nose,Tidal Volume Nose, 
Cmt Text,Cmt Time,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Cmt Text, ,Cmt Text,Cmt Text, , , , ,Cmt Text, ,Cmt Text, ,Cmt Time
EffortNewEventEnd,42:03.3,14.72339535,34.5877,-0.0022,0.0040625,1.3473,6.9518,0.0478,-1.6003,0.1275,-1.6016,43.52,97.7813,-0.7478,-8.3984375,7.421875,0.109253041,0.0040625,11.21264744,1.34726572,0.109253041,1.456518769,0.123160586,9.19E-05,0.1232,-52.2805,Analysis Start,1.34726572,Analysis Start,Analysis Start,0.123160586, , , ,Analysis Start,9.19E-05,Analysis Start,0.123160586,42:01.2
TVTotal-Analysis1,42:03.4,14.70313644,34.4774,-0.0006,0.0028125,-0.0307,7.0343,0.0475,-1.5997,0.148125,-1.4453,43.35,97.75,-0.7866,-8.28125,4.453125,0.139904454,0.0028125,11.17656136,-0.030656034,0.139904454,0.109248422,0.12343248,0.000141036,0.1234,-50.825,Analysis Start,-0.030656034,Analysis Start,Analysis Start,0.12343248, , , ,Analysis Start,0.000141036,Analysis Start,0.12343248,42:01.2
InspEnd-Analysis1,42:03.4,14.70090675,34.4667,-0.0006,0.0028125,-0.1629,7.0406,0.0266,-1.6009,0.1484375,-1.2109,43.265,97.7656,-0.7897,-7.5,4.6875,0.142621726,0.0028125,11.17125511,-0.162924945,0.142621726,-0.02030322,0.123430163,0.00014678,0.1234,-50.478,Analysis Start,-0.162924945,Analysis Start,Analysis Start,0.123430163, , , ,Analysis Start,0.00014678,Analysis Start,0.123430163,42:01.2
InspStart-Analysis1,42:06.1,13.35634804,32.461,-0.0016,0.003125,-0.0543,6.893,0.1119,-1.6,0.1009375,-1.0547,43.01,96.7969,-0.8681,-6.6796875,3.6328125,0.056785174,0.003125,11.84931278,-0.054300565,0.056785174,0.002484608,3.55E-08,0.000240542,0,-192.7898,Analysis Start,-0.054300565,Analysis Start,Analysis Start,3.55E-08, , , ,Analysis Start,0.000240542,Analysis Start,3.55E-08,42:01.2
EffortNewEventStart,42:06.2,13.31638813,32.4659,-0.0016,0.003125,3.893,6.7815,0.1022,-1.6,0.080625,-1.4063,41.99,96.7813,-0.8337,-5.2734375,2.109375,0.0376014,0.003125,10.80627632,3.892983437,0.0376014,3.930584908,0.002328883,0.00031668,0.0023,-309.7578,Analysis Start,3.892983437,Analysis Start,Analysis Start,0.002328883, , , ,Analysis Start,0.00031668,Analysis Start,0.002328883,42:01.2
VmaxNose-Analysis1,42:06.3,12.49222374,32.701,-0.0009,0.0034375,10.6643,5.927,0.1691,-1.6003,0.0359375,-2.7344,37.23,96.8125,-0.655,-7.0703125,-2.34375,-0.031384017,0.0034375,6.090337276,10.66425419,-0.031384017,10.63286972,0.014381896,0.00032143,0.0144,-193.6339,Analysis Start,10.66425419,Analysis Start,Analysis Start,0.014381896, , , ,Analysis Start,0.00032143,Analysis Start,0.014381896,42:06.3
MaxNegPressure-Analysis1,42:07.4,26.1757412,29.9852,-0.0006,0.0028125,0.7406,6.8442,0.0144,-1.6003,-0.2684375,-1.0547,1.36,96.8281,-0.415,-7.5,2.6953125,-0.038601793,0.0028125,-28.14102554,0.740603745,-0.038601793,0.702001929,0.060426019,0.000170958,0.0604,28.6291,Analysis Start,0.740603745,Analysis Start,Analysis Start,0.060426019, , , ,Analysis Start,0.000170958,Analysis Start,0.060426019,42:06.3
EffortNewEventEnd,42:08.5,13.51133251,34.2897,-0.0013,0.0025,0.3876,6.9694,0.0141,-1.5997,0.0934375,-1.7969,44.115,96.7969,-0.2069,-8.5546875,5.15625,0.035004392,0.0025,14.97245121,0.38763535,0.035004392,0.422639728,0.100555338,2.83E-05,0.1006,-70.0014,Analysis Start,0.38763535,Analysis Start,Analysis Start,0.100555338, , , ,Analysis Start,2.83E-05,Analysis Start,0.100555338,42:06.3
TVTotal-Analysis1,42:08.5,13.50121212,34.2714,-0.0019,0.004375,0.0746,6.9912,0.0153,-1.5997,0.091875,-1.7188,44.115,96.7813,-0.2069,-8.4375,4.921875,0.035441618,0.004375,15.01505566,0.074565768,0.035441618,0.11000739,0.100564443,3.03E-05,0.1006,-69.9807,Analysis Start,0.074565768,Analysis Start,Analysis Start,0.100564443, , , ,Analysis Start,3.03E-05,Analysis Start,0.100564443,42:06.3
InspEnd-Analysis1,42:08.5,13.49703979,34.2637,-0.0006,0.0028125,-0.0596,6.9992,0.0134,-1.5997,0.09125,-1.875,44.115,96.8125,-0.2019,-8.4375,4.5703125,0.035591517,0.0028125,15.03267288,-0.05962719,0.035591517,-0.024035674,0.100563012,3.11E-05,0.1006,-69.9625,Analysis Start,-0.05962719,Analysis Start,Analysis Start,0.100563012, , , ,Analysis Start,3.11E-05,Analysis Start,0.100563012,42:06.3
